county,population_White,population_Black,population_Native,population_Asian,population_NativeHawaiian_PacificIslander,population_OtherRace,population_Multiracial,perc_poverty,perc_below_poverty,perc_unemployed,per_capita_income,perc_educated,perc_foodstamp,perc_disability,perc_vacant_housing,perc_rented,perc_pre200_houses,perc_ownHouse_occupied,perc_age_under5,perc_age_5_17,perc_age_18_24,perc_age_25_39,perc_age_40_64,perc_age_over65,adi_staterank_mean
Adams,0.9280014031395248,0.0159119919709238,0.0015005797694563,0.0070546737213403,0.0,0.0224210003215528,0.0251103510772019,0.9593771619554309,0.07621775945901176,0.8222689935397117,32981.970588235294,0.7047950344451265,0.02846229549728629,0.10557650520818108,1.6019901838701234e-06,0.221510043403654,1.9097249223318845e-05,0.7254556143445032,0.0496165726368304,0.15172420513120322,0.0938641877868396,0.1621892874194898,0.3391115398481877,0.17163124713769248,3.627906976744186
Allegheny,0.7903371690277253,0.1299569920714391,0.0011794349874423,0.0392324233818677,0.0004210509036589,0.008208440716361,0.0306644889115054,0.9738907401631675,0.11004448530015266,0.8335724486613372,38642.74403056352,0.725132553062263,0.05363679640177941,0.11088576634547515,1.5629708658810192e-07,0.357161051503129,1.5284411715520143e-06,0.5823118907864333,0.0525295884699354,0.13484709204025008,0.0874907664275512,0.2157019977346967,0.32004382869055603,0.1631756923127429,5.867154811715481
Armstrong,0.9733000795642328,0.0086602607258706,0.0002448130240528,0.0030754636146643,0.0,0.0013311708182875,0.0133882122528918,0.98925882856968,0.11074729175592142,0.8330375175959361,28581.848484848484,0.7400697717118551,0.06463063834996022,0.14199155395067017,4.463268543339919e-06,0.2222222222222222,2.778956822749653e-05,0.6637343236332643,0.0474325234102454,0.1440724646551195,0.0684252402227796,0.1577054899320643,0.3605636819878814,0.192423036905563,7.484848484848484
Beaver,0.8972939841365206,0.0592847476347394,0.0009102991242922,0.0046061135689187,0.0003095017022593,0.0038475309653418,0.0337478228679277,0.9843064430972017,0.09655239378326384,0.8294766993767485,31901.56204379562,0.7338467420394341,0.05783433769670047,0.12962659529921533,1.184226830716793e-06,0.2703437560691396,1.1495730793046697e-05,0.660886828250845,0.0502849236259034,0.1433963867193424,0.0724719476153195,0.1817928037819893,0.3375207093050772,0.1876187181774596,6.663934426229508
Bedford,0.9733770818623584,0.0103210532873696,0.0012875358225692,0.0023881712837978,0.0,0.0013498359430161,0.0112763218008888,0.9853179382813474,0.11000124600240893,0.8319973418615276,26743.11904761905,0.731652614528388,0.048033392864559536,0.13010341819994187,7.51338105883351e-06,0.2060210737581535,3.607094495373833e-05,0.6483917230075804,0.0495493624621007,0.1453669477094321,0.0734310753000787,0.15423433151970742,0.3500228433774969,0.1980105494870622,6.947368421052632
Berks,0.8001202685998731,0.0523502488891858,0.0034147691749669,0.0145754088893767,0.0002410144560948,0.0663338599061714,0.0629644300843312,0.9688423192749521,0.11338656332475863,0.8035612868740186,31917.60070671378,0.6809350406383781,0.04885673241668297,0.10470527034185872,3.9645856205437577e-07,0.2896623164033276,5.18892093361703e-06,0.6631624819418078,0.0574545055385599,0.1661735017730072,0.0954369520500544,0.17817172637939,0.3302518481752101,0.149968262452811,6.030150753768845
Blair,0.951826605167558,0.0182048246867219,0.001453120535532,0.0059022817257847,0.0004408343197681,0.0020408996285562,0.020131433936079,0.9766112902567452,0.13456875790848605,0.8229315482264582,28530.526785714286,0.7202334789175069,0.07017429282827871,0.12957263561778032,1.6375699288284306e-06,0.29738416558561,1.5974705786043422e-05,0.6370786516853932,0.0525409200375525,0.1508959549369361,0.0763296461080042,0.1787664802645005,0.3343401771500876,0.1801461284134044,7.333333333333333
Bradford,0.9634558060638,0.0067027881622502,0.0007740320482205,0.0062087251527478,0.0009222509510712,0.0051382552988257,0.0167981423230842,0.9872037680538858,0.12404275291908895,0.8069366446534147,28175.0,0.7081899178208527,0.043971607845720594,0.11663180777655177,5.952624365310717e-06,0.2725243182905438,2.9120828667821102e-05,0.594571698543547,0.0594193112761647,0.1605704780883054,0.0718202928146768,0.16702623474580439,0.32792608817377816,0.1826056883121158,5.981132075471698
Bucks,0.856975343653014,0.0389457483892758,0.0009208689944365,0.0481432859409751,0.0002565050313222,0.0209139226470044,0.0338443253439716,0.9859304600521295,0.05558352504827393,0.822935054837908,47331.06971153846,0.7169044781636151,0.022521460389887647,0.08472632028397178,1.679106053800794e-07,0.2193027998488139,3.47744288054537e-06,0.7477453823600785,0.0482978262393494,0.1556443852482521,0.07915331034878301,0.16971870479297949,0.3603497390340114,0.1612110223876313,2.082595870206489
Butler,0.9545682062641776,0.0101119287745343,0.0004792383305466,0.0129767090171354,9.0522795769923e-05,0.0029233538163345,0.0188500410015016,0.9713255732222921,0.07230641433881085,0.8239384870978391,38973.56923076923,0.7146455233815057,0.03718889445042013,0.10240790636747996,9.020586739799468e-07,0.2397298166613058,9.476775948533719e-06,0.7025895893277531,0.0508578366116785,0.1492348161322271,0.08526182387458842,0.1732233570112567,0.35377373560953757,0.1605288661221097,4.518867924528302
